LATITUDE;LONGITUDE;ALTITUDE;GEOMETRY;NAME_DER_SCHULE;ANSCHRIFT;BESCHREIBUNG_(STADTTEIL-SCHULFORM-SCHULTRAEGER)
51.2327;6.85755;;point;KGS Unter den Eichen;Unter den Eichen 26 - 40625 - Düsseldorf -;Gerresheim - Grundschule - Stadt Düsseldorf
51.17487;6.83083;;point;KHS Itterstraße;Itterstraße 16 - 40589 - Düsseldorf -;Holthausen - Hauptschule - Stadt Düsseldorf
51.24181;6.78559;;point;Leibniz-Montessori-Gymnasium;Scharnhorststraße 8 - 40477 - Düsseldorf -;Pempelfort - Gymnasium - Stadt Düsseldorf
51.21273;6.76794;;point;Leo-Statz-Berufskolleg;Friedenstraße 29 - 40219 - Düsseldorf -;Unterbilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.21602;6.79666;;point;Lessing-Berufskolleg;Ellerstraße 84-94 - 40227 - Düsseldorf -;Oberbilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.21602;6.79666;;point;Lessing-Gymnasium;Ellerstraße 84-94 - 40227 - Düsseldorf -;Oberbilk - Gymnasium - Stadt Düsseldorf
51.197111;6.848473;;point;Lore-Lorentz-Schule;Schloßallee 14 - 40229 - Düsseldorf -;Eller - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.2216499;6.77611;;point;Luisen-Gymnasium;Bastionstraße 24 - 40213 - Düsseldorf -;Stadtmitte - Gymnasium - Stadt Düsseldorf
51.243565;6.861529;;point;LVR-Berufskolleg Düsseldorf;Am großen Dern 10 - 40625 - Düsseldorf -;Gerresheim - Berufs- Weiterbildungskolleg - Landschaftsverband Rheinland
51.243285; 6.859837;;point;LVR-Gerricus-Schule;Gräulinger Straße 103 - 40625 - Düsseldorf -;Ludenberg - Förderschule - Landschaftsverband Rheinland
51.174932;6.877113;;point;LVR-Karl-Tietenberg-Schule;Lärchenweg 23 - 40599 - Düsseldorf -;Hassels - Förderschule - Landschaftsverband Rheinland
